ID_Dev;SKU;Quantidade Devolvida;ID_Loja;Data da Devolução;ID_Código Cliente
146;HL1012;1;11;05/03/2018;526
147;HL1010;3;7;05/04/2018;41
148;HL1020;1;8;05/05/2018;33
149;HL1007;1;14;05/05/2018;483
150;HL1016;1;17;05/05/2018;365
151;HL1011;1;8;05/06/2018;283
152;HL1009;3;14;05/07/2018;114
153;HL1009;1;1;05/09/2018;572
154;HL1005;3;8;05/09/2018;303
155;HL1024;2;4;05/09/2018;531
156;HL1018;1;8;05/11/2018;706
157;HL1024;2;4;05/12/2018;292
158;HL1005;2;9;05/12/2018;199
159;HL1017;2;3;5/13/2018;497
160;HL1007;2;9;5/13/2018;396
161;HL1001;1;17;5/15/2018;111
162;HL1015;2;8;5/15/2018;135
163;HL1019;1;5;5/16/2018;3
164;HL1017;3;17;5/17/2018;47
165;HL1016;1;7;5/19/2018;182
166;HL1022;3;7;5/20/2018;141
167;HL1022;3;4;5/20/2018;710
168;HL1017;1;1;5/21/2018;471
169;HL1018;1;12;5/21/2018;574
170;HL1020;2;5;5/21/2018;23
171;HL1007;2;2;5/22/2018;50
172;HL1002;3;2;5/22/2018;266
173;HL1006;2;3;5/23/2018;212
174;HL1015;1;16;5/24/2018;385
175;HL1015;1;15;5/24/2018;216
176;HL1007;1;13;5/24/2018;261
177;HL1013;1;3;5/29/2018;20
178;HL1022;2;7;5/30/2018;325
179;HL1015;1;4;06/01/2018;172
180;HL1023;1;9;06/01/2018;769
181;HL1019;2;6;06/02/2018;79
182;HL1008;2;6;06/04/2018;322
183;HL1017;2;7;06/04/2018;663
184;HL1006;2;5;06/04/2018;521
185;HL1002;3;3;06/04/2018;804
186;HL1024;3;13;06/05/2018;273
187;HL1011;1;9;06/05/2018;812
188;HL1019;1;16;06/07/2018;449
189;HL1022;2;5;06/07/2018;633
190;HL1007;1;15;06/07/2018;448
191;HL1020;2;2;06/07/2018;699
192;HL1008;3;5;06/08/2018;721
193;HL1003;3;5;06/08/2018;698
194;HL1012;1;16;06/10/2018;591
195;HL1018;2;4;06/11/2018;746
196;HL1015;3;11;06/12/2018;564
197;HL1012;2;12;06/12/2018;21
198;HL1009;2;16;6/13/2018;123
199;HL1020;2;3;6/17/2018;365
200;HL1014;3;4;6/17/2018;511
201;HL1003;3;13;6/18/2018;594
202;HL1015;2;12;6/20/2018;42
203;HL1013;1;2;6/20/2018;570
204;HL1007;2;2;6/22/2018;301
205;HL1001;2;2;6/23/2018;43
206;HL1006;1;4;6/24/2018;384
207;HL1014;3;11;6/24/2018;167
208;HL1003;2;4;6/26/2018;512
209;HL1006;2;10;6/26/2018;102
210;HL1020;3;14;6/27/2018;187
211;HL1017;1;16;6/27/2018;358
212;HL1018;3;13;6/27/2018;517
213;HL1013;3;13;6/28/2018;52
214;HL1019;2;9;6/28/2018;613
215;HL1001;3;13;6/29/2018;692
216;HL1022;1;14;6/29/2018;30
217;HL1003;1;5;6/30/2018;671
218;HL1006;2;9;6/30/2018;33
219;HL1004;3;15;07/01/2018;635
220;HL1009;2;12;07/01/2018;670
221;HL1012;2;11;07/01/2018;658
222;HL1017;2;14;07/02/2018;630
223;HL1024;1;6;07/04/2018;239
224;HL1002;1;13;07/05/2018;609
225;HL1011;2;14;07/05/2018;352
226;HL1010;1;10;07/06/2018;207
227;HL1001;1;13;07/07/2018;336
228;HL1008;3;9;07/08/2018;705
229;HL1001;3;1;07/09/2018;396
230;HL1023;2;2;07/12/2018;155
231;HL1010;2;10;7/13/2018;5
232;HL1016;3;8;7/13/2018;770
233;HL1009;1;16;7/14/2018;775
234;HL1020;1;17;7/15/2018;782
235;HL1006;2;7;7/16/2018;708
236;HL1019;3;15;7/17/2018;34
237;HL1018;3;1;7/20/2018;389
238;HL1004;1;12;7/24/2018;497
239;HL1024;3;12;7/24/2018;66
240;HL1016;3;14;7/26/2018;479
241;HL1014;1;14;7/26/2018;115
242;HL1006;2;16;7/27/2018;344
243;HL1021;3;17;7/27/2018;567
244;HL1004;1;3;7/28/2018;418
245;HL1024;3;6;7/29/2018;417
246;HL1023;2;9;7/29/2018;817
247;HL1012;3;1;7/30/2018;182
248;HL1019;1;13;08/01/2018;2
249;HL1008;1;6;08/02/2018;808
250;HL1020;3;2;08/04/2018;84
251;HL1009;3;13;08/04/2018;792
252;HL1024;3;16;08/05/2018;407
253;HL1007;1;6;08/05/2018;30
254;HL1021;1;17;08/06/2018;320
255;HL1005;3;4;08/08/2018;284
256;HL1022;1;1;08/08/2018;338
257;HL1024;2;4;08/08/2018;591
258;HL1001;3;14;08/09/2018;489
259;HL1016;3;3;08/10/2018;669
260;HL1008;2;15;08/10/2018;433
261;HL1010;3;3;08/11/2018;281
262;HL1019;1;6;08/12/2018;521
263;HL1020;2;8;8/13/2018;409
264;HL1005;1;12;8/13/2018;516
265;HL1020;2;1;8/14/2018;508
266;HL1012;1;12;8/14/2018;524
267;HL1014;3;14;8/15/2018;142
268;HL1003;3;11;8/17/2018;505
269;HL1008;2;6;8/17/2018;576
270;HL1001;3;16;8/18/2018;106
271;HL1008;1;2;8/18/2018;338
272;HL1012;3;7;8/19/2018;83
273;HL1005;1;9;8/20/2018;37
274;HL1022;3;4;8/23/2018;205
275;HL1024;1;14;8/23/2018;672
276;HL1014;3;7;8/26/2018;369
277;HL1006;2;1;8/28/2018;644
278;HL1016;1;6;8/30/2018;547
279;HL1010;2;14;8/31/2018;254
280;HL1004;3;3;8/31/2018;696
281;HL1019;2;9;09/01/2018;782
282;HL1015;1;14;09/02/2018;484
283;HL1021;2;11;09/02/2018;705
284;HL1015;1;4;09/03/2018;5
285;HL1010;2;9;09/04/2018;321
286;HL1006;1;5;09/05/2018;728
287;HL1023;1;13;09/08/2018;160
288;HL1001;1;16;09/09/2018;294
289;HL1023;2;4;09/10/2018;205
290;HL1010;3;15;09/11/2018;120
291;HL1020;1;17;09/12/2018;194
292;HL1011;3;14;09/12/2018;249
293;HL1017;2;7;09/12/2018;418
294;HL1009;1;14;09/12/2018;156
295;HL1019;1;11;9/13/2018;20
296;HL1010;3;3;9/14/2018;479
297;HL1020;1;8;9/15/2018;330
298;HL1009;1;9;9/16/2018;37
299;HL1008;1;16;9/16/2018;812
300;HL1001;1;10;9/18/2018;462
301;HL1003;1;8;9/18/2018;2
302;HL1006;1;13;9/19/2018;510
303;HL1008;2;10;9/20/2018;500
304;HL1022;2;8;9/21/2018;680
305;HL1002;1;15;9/22/2018;425
306;HL1004;2;17;9/25/2018;801
307;HL1003;3;9;9/26/2018;293
308;HL1006;1;7;9/27/2018;256
309;HL1012;2;4;9/28/2018;822
310;HL1007;2;2;9/28/2018;441
311;HL1016;2;10;9/28/2018;560
312;HL1002;3;8;9/29/2018;612
313;HL1022;1;11;10/02/2018;822
314;HL1024;1;3;10/02/2018;90
315;HL1009;1;12;10/02/2018;585
316;HL1017;1;12;10/03/2018;173
317;HL1023;2;2;10/03/2018;75
318;HL1021;2;5;10/04/2018;474
319;HL1020;3;11;10/05/2018;170
320;HL1024;2;8;10/06/2018;122
321;HL1005;3;14;10/07/2018;222
322;HL1006;2;8;10/08/2018;412
323;HL1016;3;14;10/09/2018;608
324;HL1012;2;15;10/09/2018;137
325;HL1018;1;13;10/10/2018;85
326;HL1006;2;8;10/11/2018;691
327;HL1005;1;1;10/11/2018;37
328;HL1015;1;9;10/13/2018;461
329;HL1016;2;15;10/13/2018;809
330;HL1005;3;14;10/15/2018;720
331;HL1014;2;16;10/16/2018;113
332;HL1002;2;5;10/16/2018;271
333;HL1004;1;9;10/16/2018;38
334;HL1012;1;6;10/16/2018;646
335;HL1006;1;9;10/16/2018;429
336;HL1012;2;12;10/17/2018;690
337;HL1005;1;4;10/17/2018;480
338;HL1010;2;13;10/18/2018;290
339;HL1002;2;16;10/19/2018;123
340;HL1002;2;13;10/19/2018;657
341;HL1007;3;3;10/20/2018;339
342;HL1017;2;10;10/21/2018;804
343;HL1020;2;16;10/21/2018;286
344;HL1009;3;11;10/22/2018;332
345;HL1002;1;12;10/22/2018;297
346;HL1014;3;14;10/24/2018;237
347;HL1014;1;9;10/24/2018;597
348;HL1006;1;11;10/24/2018;162
349;HL1015;3;6;10/24/2018;807
350;HL1010;3;3;10/25/2018;74
351;HL1012;3;14;10/25/2018;608
352;HL1004;2;9;10/26/2018;253
353;HL1015;2;7;10/26/2018;701
354;HL1014;2;13;10/27/2018;535
355;HL1010;1;4;10/27/2018;777
356;HL1020;2;4;10/27/2018;560
357;HL1020;2;14;10/28/2018;163
358;HL1016;1;15;10/29/2018;562
359;HL1006;1;7;11/01/2018;2
360;HL1021;1;12;11/01/2018;498
361;HL1009;2;3;11/02/2018;163
362;HL1021;2;15;11/02/2018;211
363;HL1017;3;13;11/04/2018;671
364;HL1002;1;9;11/05/2018;526
365;HL1001;2;16;11/05/2018;10
366;HL1007;2;6;11/06/2018;557
367;HL1012;2;10;11/06/2018;649
368;HL1005;3;6;11/06/2018;308
369;HL1024;3;10;11/07/2018;442
370;HL1024;3;16;11/08/2018;87
371;HL1008;2;11;11/10/2018;497
372;HL1023;3;2;11/12/2018;657
373;HL1007;2;15;11/12/2018;357
374;HL1018;2;10;11/13/2018;290
375;HL1007;2;13;11/14/2018;590
376;HL1010;3;15;11/16/2018;257
377;HL1011;1;3;11/17/2018;321
378;HL1021;3;1;11/17/2018;708
379;HL1008;2;2;11/18/2018;650
380;HL1005;2;2;11/19/2018;306
381;HL1005;3;13;11/19/2018;559
382;HL1011;1;1;11/20/2018;631
383;HL1007;1;3;11/21/2018;519
384;HL1018;2;10;11/22/2018;800
385;HL1024;3;12;11/23/2018;821
386;HL1009;1;16;11/23/2018;664
387;HL1005;1;4;11/24/2018;591
388;HL1005;2;5;11/24/2018;238
389;HL1023;2;15;11/25/2018;692
390;HL1001;3;14;11/26/2018;82
391;HL1011;3;16;11/27/2018;182
392;HL1014;2;16;11/28/2018;655
393;HL1010;2;3;11/28/2018;360
394;HL1002;1;3;11/28/2018;414
395;HL1019;3;1;11/29/2018;649
396;HL1011;1;5;11/29/2018;693
397;HL1001;2;7;11/29/2018;182
398;HL1003;3;17;11/29/2018;52
399;HL1013;3;1;11/30/2018;111
400;HL1024;3;10;11/30/2018;690
401;HL1004;1;17;11/30/2018;754
402;HL1020;1;13;12/05/2018;277
403;HL1002;1;9;12/05/2018;379
404;HL1005;1;5;12/05/2018;40
405;HL1015;1;8;12/07/2018;68
406;HL1021;1;13;12/07/2018;320
407;HL1018;1;6;12/07/2018;594
408;HL1019;1;12;12/08/2018;55
409;HL1022;1;8;12/08/2018;359
410;HL1015;3;12;12/08/2018;564
411;HL1017;1;15;12/11/2018;679
412;HL1013;2;17;12/11/2018;751
413;HL1022;2;6;12/11/2018;54
414;HL1005;3;6;12/11/2018;598
415;HL1005;3;3;12/12/2018;293
416;HL1017;2;14;12/13/2018;249
417;HL1007;1;7;12/14/2018;231
418;HL1004;3;11;12/16/2018;80
419;HL1010;3;11;12/16/2018;22
420;HL1003;2;9;12/17/2018;136
421;HL1002;3;6;12/17/2018;67
422;HL1014;2;11;12/17/2018;733
423;HL1002;1;9;12/18/2018;614
424;HL1002;3;2;12/19/2018;192
425;HL1014;2;4;12/20/2018;252
426;HL1001;3;1;12/21/2018;506
427;HL1005;2;3;12/21/2018;187
428;HL1006;2;7;12/24/2018;112
429;HL1004;2;16;12/26/2018;308
430;HL1010;2;12;12/26/2018;17
431;HL1010;2;2;12/27/2018;33
432;HL1017;2;7;12/27/2018;452
433;HL1001;1;4;12/28/2018;2
434;HL1012;1;15;12/29/2018;494
435;HL1021;1;10;12/30/2018;64
436;HL1006;1;2;12/30/2018;300
437;HL1017;2;4;12/31/2018;19
438;HL1014;2;4;12/31/2018;336
439;HL1006;2;7;01/01/2019;749
440;HL1020;3;10;01/04/2019;398
441;HL1001;1;13;01/04/2019;812
442;HL1017;2;14;01/05/2019;490
443;HL1003;1;5;01/05/2019;247
444;HL1002;3;2;01/07/2019;36
445;HL1020;1;17;01/10/2019;482
446;HL1001;3;17;01/11/2019;529
447;HL1023;3;14;01/12/2019;406
448;HL1009;3;7;01/12/2019;183
449;HL1011;3;1;1/13/2019;173
450;HL1016;1;13;1/13/2019;699
451;HL1014;2;14;1/13/2019;144
452;HL1013;3;16;1/14/2019;82
453;HL1012;3;13;1/15/2019;580
454;HL1014;1;7;1/15/2019;32
455;HL1009;1;3;1/15/2019;548
456;HL1001;3;2;1/16/2019;99
457;HL1006;3;17;1/17/2019;77
458;HL1019;2;17;1/17/2019;152
459;HL1006;3;9;1/17/2019;263
460;HL1016;1;13;1/17/2019;618
461;HL1012;1;4;1/18/2019;276
462;HL1013;1;12;1/18/2019;465
463;HL1007;1;3;1/19/2019;574
464;HL1006;1;11;1/19/2019;220
465;HL1013;3;13;1/20/2019;711
466;HL1022;1;16;1/21/2019;451
467;HL1008;1;6;1/22/2019;480
468;HL1024;2;4;1/22/2019;430
469;HL1021;1;9;1/22/2019;160
470;HL1022;3;15;1/23/2019;700
471;HL1018;2;16;1/24/2019;364
472;HL1012;3;12;1/24/2019;150
473;HL1013;2;17;1/25/2019;75
474;HL1010;3;1;1/27/2019;163
475;HL1010;2;2;1/27/2019;313
476;HL1010;2;14;1/28/2019;488
477;HL1006;1;4;1/29/2019;321
478;HL1021;1;9;1/29/2019;618
479;HL1023;3;17;1/31/2019;389
480;HL1010;3;4;02/01/2019;807
481;HL1018;2;8;02/01/2019;49
482;HL1013;2;8;02/01/2019;293
483;HL1019;2;10;02/02/2019;199
484;HL1021;3;3;02/03/2019;433
485;HL1005;3;17;02/03/2019;453
486;HL1001;3;5;02/04/2019;403
487;HL1016;2;3;02/04/2019;198
488;HL1020;2;8;02/07/2019;315
489;HL1017;3;15;02/07/2019;340
490;HL1010;3;2;02/08/2019;59
491;HL1008;1;1;02/08/2019;26
492;HL1024;2;7;02/09/2019;216
493;HL1022;3;2;02/12/2019;139
494;HL1014;1;13;02/12/2019;57
495;HL1001;1;4;2/13/2019;98
496;HL1020;3;4;2/13/2019;30
497;HL1014;2;10;2/14/2019;717
498;HL1002;2;4;2/15/2019;197
499;HL1011;3;10;2/15/2019;683
500;HL1008;1;3;2/15/2019;458
501;HL1005;2;3;2/16/2019;14
502;HL1013;2;12;2/16/2019;686
503;HL1005;1;10;2/16/2019;407
504;HL1022;2;13;2/16/2019;274
505;HL1010;1;15;2/17/2019;8
506;HL1002;2;5;2/17/2019;282
507;HL1015;1;8;2/17/2019;40
508;HL1021;3;16;2/18/2019;799
509;HL1022;2;15;2/18/2019;93
510;HL1002;2;7;2/19/2019;233
511;HL1001;3;12;2/19/2019;820
512;HL1010;3;8;2/20/2019;90
513;HL1006;2;12;2/20/2019;130
514;HL1019;2;9;2/20/2019;74
515;HL1015;1;9;2/21/2019;258
516;HL1013;3;3;2/23/2019;338
517;HL1024;2;2;2/25/2019;708
518;HL1001;2;9;2/26/2019;572
519;HL1007;1;8;2/27/2019;202
520;HL1011;1;9;03/02/2019;460
521;HL1019;1;4;03/04/2019;148
522;HL1003;2;6;03/04/2019;303
523;HL1015;1;12;03/05/2019;583
524;HL1014;3;9;03/07/2019;32
525;HL1011;2;7;03/08/2019;397
526;HL1011;3;11;03/08/2019;769
527;HL1013;2;7;03/08/2019;472
528;HL1012;2;13;03/09/2019;629
529;HL1021;2;9;03/09/2019;184
530;HL1018;2;6;03/11/2019;487
531;HL1015;1;8;03/11/2019;429
532;HL1013;1;10;3/13/2019;801
533;HL1019;1;5;3/13/2019;122
534;HL1013;1;8;3/13/2019;391
535;HL1012;2;8;3/14/2019;650
536;HL1021;1;8;3/14/2019;476
537;HL1001;2;12;3/16/2019;463
538;HL1006;3;10;3/17/2019;772
539;HL1013;2;10;3/17/2019;289
540;HL1014;2;3;3/18/2019;536
541;HL1016;1;1;3/19/2019;427
542;HL1008;1;14;3/19/2019;389
543;HL1019;3;7;3/19/2019;109
544;HL1013;3;5;3/21/2019;548
545;HL1014;3;14;3/21/2019;465
546;HL1023;2;9;3/22/2019;500
547;HL1006;2;3;3/22/2019;656
548;HL1005;2;12;3/23/2019;621
549;HL1022;2;9;3/24/2019;663
550;HL1009;1;5;3/25/2019;743
551;HL1015;2;13;3/27/2019;575
552;HL1016;1;11;3/28/2019;736
553;HL1011;2;2;3/28/2019;16
554;HL1006;3;16;3/29/2019;538
555;HL1006;1;5;3/29/2019;399
556;HL1007;1;8;3/29/2019;777
557;HL1016;1;4;3/30/2019;47
558;HL1010;2;2;3/30/2019;139
559;HL1016;1;17;3/31/2019;682
560;HL1017;2;2;3/31/2019;610
561;HL1004;3;17;04/01/2019;625
562;HL1003;1;4;04/02/2019;612
563;HL1019;2;5;04/03/2019;32
564;HL1022;3;11;04/03/2019;52
565;HL1019;1;15;04/03/2019;97
566;HL1022;1;17;04/04/2019;413
567;HL1004;2;15;04/04/2019;605
568;HL1006;2;5;04/05/2019;197
569;HL1016;2;8;04/07/2019;597
570;HL1005;3;8;04/07/2019;374
571;HL1021;1;11;04/07/2019;412
572;HL1011;2;7;04/08/2019;301
573;HL1005;3;12;04/08/2019;768
574;HL1013;2;11;04/08/2019;677
575;HL1019;2;7;04/11/2019;580
576;HL1011;2;3;04/11/2019;219
577;HL1021;3;11;04/12/2019;805
578;HL1005;2;3;4/13/2019;678
579;HL1019;2;12;4/14/2019;39
580;HL1014;1;4;4/15/2019;259
581;HL1018;3;8;4/15/2019;107
582;HL1009;2;10;4/16/2019;686
583;HL1015;3;16;4/16/2019;643
584;HL1024;2;3;4/17/2019;125
585;HL1017;2;1;4/18/2019;583
586;HL1011;1;10;4/18/2019;310
587;HL1016;3;16;4/19/2019;138
588;HL1009;2;8;4/19/2019;302
589;HL1005;1;16;4/20/2019;739
590;HL1019;3;13;4/21/2019;4
591;HL1006;2;1;4/24/2019;668
592;HL1022;3;13;4/24/2019;437
593;HL1002;1;2;4/24/2019;271
594;HL1016;2;15;4/25/2019;74
595;HL1022;1;17;4/26/2019;447
596;HL1016;1;2;4/26/2019;308
597;HL1005;2;7;4/27/2019;325
598;HL1006;3;15;4/28/2019;15
599;HL1006;2;11;4/28/2019;19
600;HL1002;3;15;4/29/2019;569
601;HL1002;1;6;4/29/2019;261
602;HL1003;1;12;4/30/2019;505
603;HL1013;1;4;05/01/2019;642
604;HL1024;1;3;05/01/2019;749
605;HL1002;2;13;05/02/2019;29
606;HL1019;1;6;05/03/2019;217
607;HL1023;1;12;05/03/2019;744
608;HL1011;3;8;05/04/2019;194
609;HL1008;3;11;05/05/2019;599
610;HL1003;1;14;05/05/2019;715
611;HL1003;1;7;05/05/2019;546
612;HL1007;1;5;05/06/2019;354
613;HL1016;2;16;05/06/2019;52
614;HL1016;2;14;05/10/2019;158
615;HL1013;3;5;05/10/2019;126
616;HL1010;3;6;05/12/2019;193
617;HL1001;3;4;5/13/2019;763
618;HL1014;1;5;5/14/2019;740
619;HL1007;3;8;5/14/2019;720
620;HL1021;2;4;5/14/2019;462
621;HL1023;3;12;5/16/2019;128
622;HL1018;3;1;5/17/2019;374
623;HL1014;3;13;5/19/2019;689
624;HL1019;1;2;5/19/2019;323
625;HL1023;1;9;5/19/2019;538
626;HL1007;1;11;5/21/2019;677
627;HL1006;1;2;5/21/2019;370
628;HL1005;3;9;5/21/2019;125
629;HL1010;1;6;5/22/2019;637
630;HL1013;2;6;5/23/2019;96
631;HL1015;3;13;5/23/2019;233
632;HL1018;1;6;5/24/2019;433
633;HL1024;3;10;5/25/2019;812
634;HL1009;2;17;5/25/2019;520
635;HL1020;1;8;5/26/2019;208
636;HL1009;3;6;5/26/2019;58
637;HL1017;3;12;5/28/2019;543
638;HL1008;1;12;5/28/2019;600
639;HL1004;3;2;5/29/2019;249
640;HL1004;3;9;5/30/2019;443
641;HL1011;2;3;5/31/2019;737
642;HL1006;2;7;06/01/2019;411
643;HL1023;2;7;06/02/2019;320
644;HL1022;3;3;06/03/2019;332
645;HL1024;1;6;06/03/2019;653
646;HL1007;1;9;06/04/2019;180
647;HL1008;2;6;06/04/2019;162
648;HL1001;3;12;06/06/2019;818
649;HL1024;1;7;06/08/2019;161
650;HL1017;3;17;06/09/2019;7
651;HL1022;2;7;06/10/2019;260
652;HL1004;2;14;06/11/2019;491
653;HL1023;3;16;06/11/2019;63
654;HL1014;2;1;06/12/2019;358
655;HL1003;1;6;6/13/2019;288
656;HL1011;2;14;6/13/2019;796
657;HL1002;3;8;6/14/2019;502
658;HL1020;3;12;6/14/2019;155
659;HL1024;2;17;6/15/2019;30
660;HL1018;1;11;6/16/2019;91
661;HL1019;3;7;6/16/2019;472
662;HL1018;2;16;6/16/2019;559
663;HL1011;1;9;6/17/2019;346
664;HL1009;3;8;6/18/2019;27
665;HL1018;3;11;6/21/2019;233
666;HL1023;2;14;6/21/2019;457
667;HL1001;2;16;6/23/2019;59
668;HL1002;1;9;6/24/2019;741
669;HL1023;1;11;6/24/2019;9
670;HL1020;1;10;6/26/2019;137
671;HL1006;1;12;6/27/2019;119
672;HL1010;2;15;6/28/2019;472
673;HL1003;1;9;6/30/2019;60
674;HL1004;2;15;6/30/2019;300
675;HL1022;1;15;07/01/2019;83
676;HL1021;3;17;07/02/2019;293
677;HL1006;1;1;07/02/2019;384
678;HL1023;2;16;07/05/2019;179
679;HL1006;3;9;07/07/2019;480
680;HL1008;3;12;07/07/2019;687
681;HL1011;1;4;07/07/2019;819
682;HL1010;3;4;07/07/2019;108
683;HL1019;1;15;07/08/2019;487
684;HL1011;3;8;7/15/2019;463
685;HL1022;3;9;7/15/2019;771
686;HL1006;2;11;7/17/2019;729
687;HL1024;3;15;7/21/2019;319
688;HL1011;2;13;7/21/2019;66
689;HL1014;2;7;7/23/2019;276
690;HL1016;2;2;7/23/2019;530
691;HL1022;3;3;7/24/2019;226
692;HL1008;3;8;7/24/2019;235
693;HL1002;2;1;7/27/2019;208
694;HL1017;2;11;7/27/2019;629
695;HL1015;2;5;7/27/2019;182
